,Name,Price,24h,Market Cap,Volume(24h)
0,Celsius1CEL,$0.9666,5.16%,"$230,884,061","$15,998,975"
1,Terra Classic2LUNC,$0.00005724,1.33%,"$375,037,830","$51,944,991"
2,Bitcoin3BTC,"$20,729.64",4.02%,"$395,422,878,430","$24,822,533,503"
3,Solana4SOL,$37.55,9.37%,"$12,865,292,982","$1,589,697,647"
4,Shiba Inu5SHIB,$0.00001009,5.41%,"$5,537,544,780","$666,247,619"
5,Ethereum6ETH,"$1,127.55",7.22%,"$136,748,959,962","$13,781,859,367"
6,USDD7USDD,$0.9758,0.13%,"$705,823,106","$126,203,750"
7,Dogecoin8DOGE,$0.06364,3.60%,"$8,443,366,429","$432,541,862"
8,Green Satoshi Token (SOL)9GST,$0.1851,5.89%,"$29,139,326","$7,526,891"
9,Polygon10MATIC,$0.5416,20.43%,"$4,333,805,751","$1,056,331,371"
10,Oasis Network11ROSE,$0.05258,4.17%,"$264,328,222","$47,442,869"
11,Square Token12SQUA,$12.37,19.27%,--,"$12,803,763"
12,Compound13COMP,$43.07,10.60%,"$308,049,313","$78,546,570"
13,Moonbeam14GLMR,$0.639,5.00%,"$195,198,846","$23,047,019"
14,Dent15DENT,$0.0009361,6.74%,"$92,676,702","$12,176,736"
15,Status16SNT,$0.029,3.76%,"$100,661,024","$5,070,533"
16,Dash17DASH,$47.84,5.80%,"$515,951,630","$84,896,893"
17,Livepeer18LPT,$8.46,7.55%,"$203,530,082","$19,582,391"
18,Reserve Rights19RSR,$0.008884,2.26%,"$131,497,079","$71,842,324"
19,Stellar20XLM,$0.1167,3.62%,"$2,917,570,115","$159,116,138"
20,XRP21XRP,$0.3326,3.35%,"$16,078,416,074","$908,878,017"
21,ConstitutionDAO22PEOPLE,$0.02415,4.67%,"$122,185,436","$81,173,532"
22,Syscoin23SYS,$0.1399,7.35%,"$90,938,541","$6,078,798"
23,Cartesi24CTSI,$0.1604,7.41%,"$91,665,802","$15,896,359"
24,Trust Wallet Token25TWT,$0.8522,1.16%,"$245,500,113","$16,941,134"
25,Storj26STORJ,$0.9153,47.10%,"$363,759,447","$364,591,789"
26,Ethereum Name Service27ENS,$9.08,5.08%,"$183,795,479","$52,885,623"
27,Dogelon Mars28ELON,$0.0000002675,6.83%,"$147,426,636","$2,167,703"
28,Coin9829C98,$0.5245,2.73%,"$97,034,195","$38,890,042"
29,Nexo30NEXO,$0.6889,7.25%,"$385,758,607","$11,090,756"
